,GDP_PER_CAP,POP_DENSITY,POP_2024,FIBER_PER_100,LTE_ACCESS_PER_100,NR_ACCESS_PER_100,NR_STATION_CNT,NR_PER_100K_POP,AVG_DL_SPEED,SLP_PER_100K_POP
GDP_PER_CAP,1.0,0.04,0.04,0.23,0.15,0.22,0.04,0.1,0.11,0.14
POP_DENSITY,0.04,1.0,0.43,0.1,0.01,0.36,0.37,0.13,0.36,-0.0
POP_2024,0.04,0.43,1.0,0.08,0.03,0.31,0.98,0.13,0.32,0.0
FIBER_PER_100,0.23,0.1,0.08,1.0,0.16,0.43,0.05,0.16,0.28,0.03
LTE_ACCESS_PER_100,0.15,0.01,0.03,0.16,1.0,0.03,0.03,-0.01,0.04,0.07
NR_ACCESS_PER_100,0.22,0.36,0.31,0.43,0.03,1.0,0.22,0.34,0.61,0.03
NR_STATION_CNT,0.04,0.37,0.98,0.05,0.03,0.22,1.0,0.12,0.25,0.01
NR_PER_100K_POP,0.1,0.13,0.13,0.16,-0.01,0.34,0.12,1.0,0.22,-0.01
AVG_DL_SPEED,0.11,0.36,0.32,0.28,0.04,0.61,0.25,0.22,1.0,0.0
SLP_PER_100K_POP,0.14,-0.0,0.0,0.03,0.07,0.03,0.01,-0.01,0.0,1.0
